iter	RMSE
0	5.632635293
1	5.477590751
2	5.333123812
3	5.218031622
4	5.129130613
5	5.039197639
6	4.965313804
7	4.90246413
8	4.852587031
9	4.802083408
10	4.763674938
11	4.720074897
12	4.689041114
13	4.659644658
14	4.619367347
15	4.592912357
16	4.567194778
17	4.548704774
18	4.530730063
19	4.516054976
20	4.491275874
21	4.480400654
22	4.467644866
23	4.454671786
24	4.442422635
25	4.436139041
26	4.430325492
27	4.414460437
28	4.404293679
29	4.392061542
30	4.384540072
31	4.380778742
32	4.366121176
33	4.349061147
34	4.345591091
35	4.325594134
36	4.314099939
37	4.306800852
38	4.296218573
39	4.2882985
40	4.277720609
41	4.272583087
42	4.262491145
43	4.245689029
44	4.243040546
45	4.227510776
46	4.222450141
47	4.217691647
48	4.207730273
49	4.203515967
50	4.184288599
51	4.173491055
52	4.157293843
53	4.145637257
54	4.136946972
55	4.133238014
56	4.129675479
57	4.122539543
58	4.113938377
59	4.112065728
60	4.1051046
61	4.101397984
62	4.082772434
63	4.071523319
64	4.065733682
65	4.060970144
66	4.051244888
67	4.038673519
68	4.026099794
69	4.021815651
70	4.009406969
71	4.003486753
72	3.998344869
73	3.993196676
74	3.987222637
75	3.980218052
76	3.973581256
77	3.962851908
78	3.951767933
79	3.945219646
80	3.938507594
81	3.932087114
82	3.920689597
83	3.915738471
84	3.911318481
85	3.907695647
86	3.900870961
87	3.896381866
88	3.892747501
89	3.888303625
90	3.879844335
91	3.872767513
92	3.867388258
93	3.86312971
94	3.859484269
95	3.856794522
96	3.85395023
97	3.850544024
98	3.848588103
99	3.84606802
100	3.844699637
101	3.829469446
102	3.82731581
103	3.821708041
104	3.808096564
105	3.806329465
106	3.805354951
107	3.799652115
108	3.786817958
109	3.780138392
110	3.766682233
111	3.765772173
112	3.763041396
113	3.761092572
114	3.760329478
115	3.752653525
116	3.744174997
117	3.731474429
118	3.718992372
119	3.71620607
120	3.711325822
121	3.695624737
122	3.694917845
123	3.686930354
124	3.678114561
125	3.669404735
